Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
497400,VILLA de CHARME,43.3308686990871,5.42451690042137,65,MARSEILLE,13,Villa,3,Logement entier,5,1,1,0,,X,X,X,X,,X,,X,X,X,X,,,X,X,,,,,,,,X,,,,X,X,X,X,X,X,,,,,0,0,20,0,0,2,Chien(s),,True
499041,<!-- react-text: 236 -->Chambre RezDeJardin proche Calanque<!-- /react-text -->,43.2426018325627,5.39140260755931,60,MARSEILLE,13,Villa,2,Chambre privee,2,1,1,1,,,,,,,X,,X,,X,X,,X,,,,,,,,,,,,,,X,,X,,X,,,,,,0,0,0,0,0,2,Cat(s),,True
503041,<!-- react-text: 193 -->Maison de ville Marseille & jardin<!-- /react-text -->,43.2815494138283,5.40831275472498,70,MARSEILLE,13,Maison,3,Logement entier,5,1,2,2,,X,X,X,,,X,,X,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,10,10,0,0,200,7,,,True
508136,<!-- react-text: 193 -->DUPLEX LUMINEUX et SPACIEUX Centre VIEUX-PORT<!-- /react-text -->,43.2947724697235,5.37611298728351,55,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,,X,,,X,X,X,X,X,,,,,,X,,,,,,X,X,X,X,,,,,,,10,10,10,30,200,2,,,True
512680,<!-- react-text: 193 -->Attractive & Welcoming Apartment  <!-- /react-text -->,43.3025767899992,5.39381344972701,59,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,X,X,,X,,X,,,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,15,15,0,20,200,2,,,True
514638,Cosy flat in Calanques park,43.2362750784189,5.39283879896823,80,MARSEILLE,13,Appartement,3,Logement entier,5,1,2,0,,X,X,X,,,X,,X,X,X,X,X,,X,X,,,X,X,,X,,,,,X,X,X,X,X,X,,X,,X,,0,25,0,30,250,2,,,False
516155,<!-- react-text: 193 -->Tres joli appartement a la Joliette<!-- /react-text -->,43.305119648315,5.37178568833381,55,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,,X,X,,X,,,,X,,,,,,X,,,,,,X,X,X,,X,,,,,,10,10,5,30,300,2,,Strictes,True
517413,<!-- react-text: 236 -->T2 MARSEILLE VIEUX PORT<!-- /react-text -->,43.2969470682881,5.37842239648154,60,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,,X,X,,X,,X,,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,,0,0,10,45,400,5,,,True
"520106,""<!-- react-text: 193 -->Vieux Port, Idealement situe<!-- /react-text -->"",43.296032061134,5.37512645231153,47,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Canape convertible,X,X,X,X,,X,,X,,,X,,,,,,,,,,X,,,,,X,,,,,X,X,,,,,8,8,0,20,200,3,,,True"
"526808,""Appartement au Coeur du Vieux Port,"",43.2925976026891,5.37468018587354,90,MARSEILLE,13,Appartement,3,Logement entier,5,1,1,0,,X,X,X,X,,,X,X,,,X,,,,,,,,X,,X,,,,,,X,X,X,X,X,,,,,,6,45,10,50,950,3,,,False"
